Frame Seq, Obj_index, x, y, z, velocity, snr, noise
# Frame 316: DetectedObjs=4 : numTLVs=5
# Frame 390: DetectedObjs=4 : numTLVs=5
390,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
390,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
390,obj_2,0.00000,0.82895,0.00000,0.00000,294,569
390,obj_3,0.00000,1.09072,0.00000,0.00000,173,499
# Frame 391: DetectedObjs=4 : numTLVs=5
391,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
391,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
391,obj_2,0.00000,0.82895,0.00000,0.00000,289,576
391,obj_3,0.00000,1.09072,0.00000,0.00000,160,503
# Frame 392: DetectedObjs=4 : numTLVs=5
392,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
392,obj_1,0.01772,0.56690,0.00000,0.00000,311,714
392,obj_2,0.00000,0.82895,0.00000,0.00000,298,566
392,obj_3,0.00000,1.09072,0.00000,0.00000,178,490
# Frame 393: DetectedObjs=4 : numTLVs=5
393,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
393,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
393,obj_2,0.00000,0.82895,0.00000,0.00000,298,566
393,obj_3,-0.03408,1.09018,0.00000,0.00000,173,490
# Frame 394: DetectedObjs=4 : numTLVs=5
394,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
394,obj_1,0.01772,0.56690,0.00000,0.00000,309,715
394,obj_2,0.00000,0.82895,0.00000,0.00000,293,571
394,obj_3,-0.03408,1.09018,0.00000,0.00000,180,488
# Frame 395: DetectedObjs=4 : numTLVs=5
395,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
395,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
395,obj_2,0.00000,0.82895,0.00000,0.00000,299,565
395,obj_3,-0.03408,1.09018,0.00000,0.00000,171,500
# Frame 396: DetectedObjs=4 : numTLVs=5
396,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
396,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
396,obj_2,0.00000,0.82895,0.00000,0.00000,283,580
396,obj_3,0.00000,1.09072,0.00000,0.00000,155,508
# Frame 397: DetectedObjs=4 : numTLVs=5
397,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
397,obj_1,0.01772,0.56690,0.00000,0.00000,316,708
397,obj_2,0.00000,0.82895,0.00000,0.00000,296,569
397,obj_3,-0.03408,1.09018,0.00000,0.00000,174,499
# Frame 398: DetectedObjs=3 : numTLVs=5
398,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
398,obj_1,0.01772,0.56690,0.00000,0.00000,312,712
398,obj_2,0.00000,0.82895,0.00000,0.00000,286,579
# Frame 399: DetectedObjs=4 : numTLVs=5
399,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
399,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
399,obj_2,0.00000,0.82895,0.00000,0.00000,296,568
399,obj_3,-0.03408,1.09018,0.00000,0.00000,166,507
# Frame 400: DetectedObjs=3 : numTLVs=5
400,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
400,obj_1,0.01772,0.56690,0.00000,0.00000,315,709
400,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
# Frame 401: DetectedObjs=4 : numTLVs=5
401,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
401,obj_1,0.01772,0.56690,0.00000,0.00000,317,707
401,obj_2,0.00000,0.82895,0.00000,0.00000,303,561
401,obj_3,-0.03408,1.09018,0.00000,0.00000,174,484
# Frame 402: DetectedObjs=4 : numTLVs=5
402,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
402,obj_1,0.01772,0.56690,0.00000,0.00000,310,714
402,obj_2,0.00000,0.82895,0.00000,0.00000,296,568
402,obj_3,-0.03408,1.09018,0.00000,0.00000,175,493
# Frame 403: DetectedObjs=4 : numTLVs=5
403,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
